Kanji,Kanji_Meaning,Reading_Used,Word,Word_Reading,English_Meaning,Reading_Type,Position_in_Deck
八,"eight, eight radical (no. 12)",や,八百屋,やおや,"vegetable store, greengrocer",kun,630
九,nine,きゅう,九,きゅう,nine,on,1791
九,nine,く,九,く,nine,on,1808
九,nine,ここの,九つ,ここのつ,nine (things),kun,11
九,nine,ここの,九日,ここのか,"nine days, 9th of the month",kun,24
十,ten,じゅう,十分,じゅうぶん,"enough, plenty",on,382
十,ten,じゅう,十,じゅう,ten,on,1792
十,ten,とお,十日,とおか,"ten days, 10th of the month",kun,27
十,ten,irregular,二十日,はつか,"20 days, 20th of the month",irregular,22
十,ten,irregular,二十歳,はたち,20 years old,irregular,1009
水,water,すい,水曜日,すいようび,Wednesday,on,41
水,water,すい,水道,すいどう,"tap water, water supply",on,576
水,water,すい,水泳,すいえい,swimming,on,1238
水,water,みず,水,みず,water,kun,31
金,gold,きん,金曜日,きんようび,Friday,on,36
金,gold,きん,金,きん,"gold, sum of money, Friday",on,381
金,gold,きん,資金,しきん,"funds, a fund",on,1115
金,gold,きん,貯金,ちょきん,"savings, deposit",on,1447
金,gold,かね,金,かね,money,kun,32
金,gold,かね,金持ち,かねもち,wealthy person,kun,735
曜,weekday,よう,日曜日,にちようび,Sunday,on,33
曜,weekday,よう,土曜日,どようび,Saturday,on,34
曜,weekday,よう,金曜日,きんようび,Friday,on,36
曜,weekday,よう,月曜日,げつようび,Monday,on,37
曜,weekday,よう,木曜日,もくようび,Thursday,on,38
曜,weekday,よう,曜日,ようび,day of the week,on,39
曜,weekday,よう,火曜日,かようび,Tuesday,on,40
曜,weekday,よう,水曜日,すいようび,Wednesday,on,41
週,week,しゅう,週,しゅう,week,on,42
週,week,しゅう,今週,こんしゅう,this week,on,51
週,week,しゅう,先週,せんしゅう,last week,on,390
週,week,しゅう,来週,らいしゅう,next week,on,393
週,week,しゅう,毎週,まいしゅう,every week,on,452
週,week,しゅう,週末,しゅうまつ,weekend,on,637
週,week,しゅう,週刊誌,しゅうかんし,weekly magazine,on,1342
週,week,しゅう,再来週,さらいしゅう,the week after next,on,1497
先,"before, ahead",せん,先生,せんせい,teacher (respectful title),on,210
先,"before, ahead",せん,先月,せんげつ,last month,on,388
先,"before, ahead",せん,先週,せんしゅう,last week,on,390
先,"before, ahead",さき,先,さき,"ahead, first",kun,46
小,"little, small",しょう,小学生,しょうがくせい,elementary school student,on,752
小,"little, small",しょう,小学校,しょうがっこう,elementary school,on,756
小,"little, small",しょう,小説,しょうせつ,"novel, story",on,1095
小,"little, small",ちい,小さい,ちいさい,small,kun,58
小,"little, small",こ,小包,こづつみ,"parcel, package",kun,1632
少,"few, little",しょう,少年,しょうねん,boy,on,401
少,"few, little",すく,少ない,すくない,"few, little",kun,59
少,"few, little",すこ,少し,すこし,"a little, a little while (polite)",kun,60
少,"few, little",すこ,少しも,すこしも,(not) one bit,kun,402
少,"few, little",irregular,少々,しょうしょう,"a little, a few (formal)",irregular,403
多,"many, frequent",た,多分,たぶん,"probably, perhaps",on,62
多,"many, frequent",おお,多い,おおい,lots of,kun,61
多,"many, frequent",おお,多く,おおく,"many, much",kun,404
本,"book, present",ほん,本,ほん,"book, volume",on,79
本,"book, present",ほん,本当に,ほんとうに,"really, truly",on,227
本,"book, present",ほん,本屋,ほんや,"bookstore, bookseller",on,629
本,"book, present",ほん,本当,ほんとう,"truth, reality, genuine",on,793
本,"book, present",ほん,基本,きほん,"basis, foundation",on,1086
本,"book, present",ほん,本棚,ほんだな,bookshelf,on,1569
本,"book, present",ほん,本箱,ほんばこ,bookcase,on,1625
休,"rest, day off",きゅう,休日,きゅうじつ,"holiday, day off",on,426
休,"rest, day off",きゅう,休校,きゅうこう,temporary school closure,on,760
休,"rest, day off",きゅう,休憩,きゅうけい,"<div>break (from work, study, etc.)</div>",on,1589
休,"rest, day off",やす,休む,やすむ,"take a day off, take a break",kun,80
休,"rest, day off",やす,休み,やすみ,"rest, holiday, absence",kun,427
休,"rest, day off",やす,昼休み,ひるやすみ,"noon recess, lunch break",kun,523
休,"rest, day off",やす,夏休み,なつやすみ,summer vacation,kun,664
休,"rest, day off",やす,冬休み,ふゆやすみ,winter vacation,kun,665
目,"eye, class",もく,目的,もくてき,"objective, purpose",on,1046
目,"eye, class",もく,注目,ちゅうもく,"attention, notice",on,1072
目,"eye, class",め,目,め,eye,kun,82
目,"eye, class",め,目覚まし時計,めざましどけい,alarm clock,kun,820
目,"eye, class",め,目立つ,めだつ,"stand out, be conspicuous",kun,890
目,"eye, class",め,真面目,まじめ,"serious, sober, earnest",kun,963
口,mouth,こう,人口,じんこう,population,on,430
口,mouth,く,早口,はやくち,fast talking,on,913
口,mouth,くち,口,くち,mouth,kun,84
口,mouth,irregular,出口,でぐち,"exit, exit ramp",irregular,431
口,mouth,irregular,入り口,いりぐち,entrance,irregular,433
口,mouth,irregular,改札口,かいさつぐち,ticket barrier,irregular,1396
足,"leg, foot",あし,足,あし,"leg, foot",kun,88
足,"leg, foot",た,足りる,たりる,"be enough, be sufficient",kun,438
足,"leg, foot",た,足す,たす,"add, supplement<div>(the same kind of thing)</div>",kun,439
足,"leg, foot",た,足し算,たしざん,addition,kun,824
空,"empty, sky",くう,空気,くうき,"air, atmosphere",on,468
空,"empty, sky",くう,航空便,こうくうびん,airmail,on,1104
空,"empty, sky",くう,空港,くうこう,airport,on,1107
空,"empty, sky",す,空く,すく,"become empty, become less crowded",kun,89
空,"empty, sky",あ,空く,あく,become available or vacant,kun,443
空,"empty, sky",から,空手,からて,"karate, empty hand",kun,444
空,"empty, sky",そら,空,そら,"sky, weather",kun,445
好,"fond, pleasing",す,好き,すき,"favorite, liked",kun,92
好,"fond, pleasing",す,大好き,だいすき,love,kun,93
家,"house, home",か,家内,かない,my wife,on,466
家,"house, home",か,家族,かぞく,"family, household",on,1007
家,"house, home",か,家庭,かてい,"home, family",on,1462
家,"house, home",うち,家,うち,"house, home, my family",kun,96
家,"house, home",いえ,家,いえ,"house, home",kun,465
家,"house, home",や,家賃,やちん,rent (money),kun,853
昨,"yesterday, previous",さく,昨年,さくねん,last year (polite),on,482
昨,"yesterday, previous",irregular,昨日,きのう,yesterday,irregular,102
昨,"yesterday, previous",irregular,一昨年,おととし,the year before last,irregular,484
昨,"yesterday, previous",irregular,一昨日,おととい,day before yesterday,irregular,485
昨,"yesterday, previous",irregular,昨夜,ゆうべ,"last night, last evening",irregular,529
開,"open, unfold",かい,開始,かいし,beginning,on,917
開,"open, unfold",かい,開発,かいはつ,development,on,930
開,"open, unfold",かい,公開,こうかい,opening (to the public),on,1096
開,"open, unfold",かい,開催,かいさい,"holding (of an event), opening",on,1510
開,"open, unfold",あ,開ける,あける,"open, unlock",kun,103
開,"open, unfold",あ,開く,あく,open が,kun,496
開,"open, unfold",ひら,開く,ひらく,open を/が,kun,104
閉,"closed, shut",と,閉じる,とじる,"close (book, eyes, etc.)",kun,105
閉,"closed, shut",し,閉める,しめる,"shut, close",kun,106
閉,"closed, shut",し,閉まる,しまる,"be shut, be closed",kun,107
安,"relax, cheap",あん,安全,あんぜん,"safety, security",on,604
安,"relax, cheap",あん,安心,あんしん,"peace of mind, relief",on,686
安,"relax, cheap",やす,安い,やすい,"inexpensive, cheap",kun,112
前,"in front, before",ぜん,午前,ごぜん,"morning, a.m.",on,118
前,"in front, before",まえ,前,まえ,"front, before",kun,114
前,"in front, before",まえ,名前,なまえ,name,kun,197
前,"in front, before",まえ,昼前,ひるまえ,"in the morning, before noon",kun,524
後,"behind, back",ご,午後,ごご,"afternoon, p.m.",on,117
後,"behind, back",ご,今後,こんご,"after this, in the future (formal)",on,509
後,"behind, back",ご,最後,さいご,"last, final",on,511
後,"behind, back",あと,後,あと,after,kun,115
後,"behind, back",うし,後ろ,うしろ,"back, behind",kun,116
後,"behind, back",のち,後[のち],のち,"after, afterwards (formal)",kun,510
後,"behind, back",irregular,明後日,あさって,day after tomorrow,irregular,513
午,"noon, sign of the horse",ご,午後,ごご,"afternoon, p.m.",on,117
午,"noon, sign of the horse",ご,午前,ごぜん,"morning, a.m.",on,118
朝,"morning, dynasty",ちょう,朝食,ちょうしょく,breakfast (formal),on,534
朝,"morning, dynasty",ちょう,朝刊,ちょうかん,morning edition,on,1343
朝,"morning, dynasty",あさ,朝,あさ,morning,kun,119
朝,"morning, dynasty",あさ,毎朝,まいあさ,every morning,kun,520
朝,"morning, dynasty",あさ,朝ご飯,あさごはん,breakfast,kun,715
朝,"morning, dynasty",irregular,今朝,けさ,this morning,irregular,521
昼,"daytime, noon",ちゅう,昼食,ちゅうしょく,lunch (formal),on,533
昼,"daytime, noon",ひる,昼,ひる,"daytime, midday, lunch",kun,120
昼,"daytime, noon",ひる,昼休み,ひるやすみ,"noon recess, lunch break",kun,523
昼,"daytime, noon",ひる,昼前,ひるまえ,"in the morning, before noon",kun,524
昼,"daytime, noon",ひる,昼間,ひるま,"daytime, day",kun,525
昼,"daytime, noon",ひる,昼過ぎ,ひるすぎ,just past noon,kun,927
昼,"daytime, noon",ひる,昼寝,ひるね,nap,kun,1325
晩,"nightfall, night",ばん,晩,ばん,evening (usually from sunset to bedtime),on,122
晩,"nightfall, night",ばん,今晩,こんばん,"this evening, tonight",on,123
晩,"nightfall, night",ばん,毎晩,まいばん,every evening,on,526
夜,"night, evening",や,今夜,こんや,"tonight, this evening",on,528
夜,"night, evening",よる,夜,よる,night (from sunset to sunrise),kun,124
夜,"night, evening",よ,夜中,よなか,"midnight, dead of night",kun,530
夜,"night, evening",irregular,昨夜,ゆうべ,"last night, last evening",irregular,529
食,"eat, food",しょく,昼食,ちゅうしょく,lunch (formal),on,533
食,"eat, food",しょく,朝食,ちょうしょく,breakfast (formal),on,534
食,"eat, food",しょく,夕食,ゆうしょく,supper (polite),on,535
食,"eat, food",しょく,食事,しょくじ,"meal, dinner (formal)",on,562
食,"eat, food",しょく,食堂,しょくどう,"dining hall, restaurant",on,1708
食,"eat, food",た,食べる,たべる,eat,kun,125
食,"eat, food",た,食べ物,たべもの,food,kun,198
飲,"drink, smoke",の,飲む,のむ,drink,kun,126
飲,"drink, smoke",の,飲み物,のみもの,"beverage, drink",kun,200
言,"say, word",げん,言語,げんご,"language, speech",on,545
言,"say, word",げん,発言,はつげん,"statement, remark",on,932
言,"say, word",い,言う,いう,"say, tell",kun,135
言,"say, word",い,言い方,いいかた,"way of speaking, expression",kun,539
言,"say, word",こと,言葉,ことば,"word, language",kun,343
話,"tale, talk",わ,会話,かいわ,conversation,on,553
話,"tale, talk",わ,電話,でんわ,"telephone, phone call",on,568
話,"tale, talk",わ,電話帳,でんわちょう,telephone book,on,1637
話,"tale, talk",はな,話す,はなす,"speak, tell",kun,136
話,"tale, talk",はな,話し合う,はなしあう,"discuss, talk about",kun,554
話,"tale, talk",はなし,話,はなし,"talk, story",kun,540
読,read,よ,読む,よむ,read,kun,137
読,read,よ,読み,よみ,"reading, judgment, foresight",kun,542
読,read,よ,読み方,よみかた,"way to read, reading",kun,543
字,"character, letter",じ,漢字,かんじ,Chinese character,on,138
字,"character, letter",じ,文字,もじ,"character, letter",on,546
字,"character, letter",じ,字,じ,"character, letter, handwriting",on,547
字,"character, letter",じ,名字,みょうじ,"surname, family name",on,709
字,"character, letter",じ,数字,すうじ,"figure, numeral",on,783
字,"character, letter",じ,ローマ字,ろーまじ,Roman alphabet,on,1828
覚,"memorize, learn",おぼ,覚える,おぼえる,"memorize, learn",kun,140
覚,"memorize, learn",さ,覚める,さめる,"awake, wake up (目が)",kun,549
覚,"memorize, learn",さ,覚ます,さます,"awaken, wake up 目を",kun,550
覚,"memorize, learn",irregular,目覚まし時計,めざましどけい,alarm clock,irregular,820
場,"location, place",じょう,工場,こうじょう,"factory, plant",on,567
場,"location, place",じょう,入場券,にゅうじょうけん,entrance ticket,on,852
場,"location, place",じょう,飛行場,ひこうじょう,"airport, airfield",on,1103
場,"location, place",じょう,駐車場,ちゅうしゃじょう,parking area,on,1527
場,"location, place",ば,場合,ばあい,"situation, case",kun,144
場,"location, place",ば,売り場,うりば,"sales floor, department",kun,650
場,"location, place",ば,場所,ばしょ,"place, space",kun,702
場,"location, place",ば,立場,たちば,"standpoint, position",kun,889
合,"fit, suit",ごう,合格,ごうかく,"passing an examination, eligibility",on,663
合,"fit, suit",ごう,都合,つごう,circumstances,on,714
合,"fit, suit",ごう,結合,けつごう,"combination, joining",on,1015
合,"fit, suit",あい,場合,ばあい,"situation, case",kun,144
合,"fit, suit",あ,話し合う,はなしあう,"discuss, talk about",kun,554
合,"fit, suit",あ,合う,あう,fit,kun,555
合,"fit, suit",あ,間に合う,まにあう,"be in time, serve (my) purpose<br>なくても〜 do without",kun,556
電,electricity,でん,電車,でんしゃ,train,on,146
電,electricity,でん,電話,でんわ,"telephone, phone call",on,568
電,electricity,でん,電気,でんき,"electricity, electric light",on,569
電,electricity,でん,電池,でんち,"electric cell, battery",on,1231
電,electricity,でん,電話帳,でんわちょう,telephone book,on,1637
道,"road-way, street",どう,水道,すいどう,"tap water, water supply",on,576
道,"road-way, street",どう,車道,しゃどう,"road, roadway (for vehicles)",on,577
道,"road-way, street",どう,道路,どうろ,"road, street",on,579
道,"road-way, street",どう,歩道,ほどう,"sidewalk, footpath",on,585
道,"road-way, street",どう,横断歩道,おうだんほどう,crosswalk,on,1298
道,"road-way, street",どう,柔道,じゅうどう,judo,on,1538
道,"road-way, street",みち,道,みち,"way, road, street",kun,148
道,"road-way, street",みち,片道,かたみち,one-way,kun,1333
止,"stop, halt",や,止める,やめる,"stop, give up, abolish",kun,150
止,"stop, halt",や,止む,やむ,"<!--anki-->cease, stop,&nbsp;let up",kun,584
止,"stop, halt",と,止める,とめる,"stop (sth), turn off",kun,582
止,"stop, halt",と,止まる,とまる,"come to a stop, cease",kun,583
近,"near, early",きん,最近,さいきん,"lately, recent",on,593
近,"near, early",きん,近所,きんじょ,neighborhood,on,703
近,"near, early",ちか,近く,ちかく,"near, close to",kun,154
近,"near, early",ちか,近い,ちかい,"near, close",kun,155
近,"near, early",ちか,近く,ちかく,"vicinity, nearby",kun,156
近,"near, early",ちか,近付く,ちかづく,"approach, get acquainted",kun,1359
長,"long, leader",ちょう,社長,しゃちょう,president (of a company),on,595
長,"long, leader",ちょう,会長,かいちょう,"chairman, president",on,596
長,"long, leader",ちょう,長男,ちょうなん,eldest son,on,598
長,"long, leader",ちょう,長女,ちょうじょ,eldest daughter,on,599
長,"long, leader",ちょう,校長,こうちょう,principal,on,758
長,"long, leader",なが,長い,ながい,long,kun,158
長,"long, leader",なが,長さ,ながさ,length,kun,597
長,"long, leader",なが,長袖,ながそで,clothes with long sleeves,kun,1752
部,"section, bureau",ぶ,全部,ぜんぶ,"all, wholly",on,162
部,"section, bureau",ぶ,一部,いちぶ,part,on,605
部,"section, bureau",ぶ,部分,ぶぶん,"part, section",on,606
部,"section, bureau",irregular,部屋,へや,room,irregular,166
全,"whole, entire",ぜん,全部,ぜんぶ,"all, wholly",on,162
全,"whole, entire",ぜん,全体,ぜんたい,"whole, total",on,602
全,"whole, entire",ぜん,安全,あんぜん,"safety, security",on,604
全,"whole, entire",ぜん,全国,ぜんこく,the whole country,on,609
全,"whole, entire",ぜん,全然,ぜんぜん,"(not) at all, totally (not)",on,795
全,"whole, entire",まった,全く,まったく,"entirely, truly, indeed",kun,603
白,white,しろ,白い,しろい,"white, blank (for paper)",kun,164
白,white,しろ,面白い,おもしろい,"interesting, amusing",kun,958
白,white,しろ,真っ白,まっしろ,pure-white,kun,964
白,white,しろ,白,しろ,white,kun,1840
赤,red,あか,赤い,あかい,red,kun,165
赤,red,あか,赤ちゃん,あかちゃん,baby,kun,618
赤,red,あか,赤,あか,red,kun,619
赤,red,irregular,真っ赤,まっか,deep red,irregular,962
作,"make, production",さく,作文,さくぶん,"composition, essay",on,643
作,"make, production",さく,作品,さくひん,"work of art, piece",on,654
作,"make, production",さ,作業,さぎょう,"work, operation",on,807
作,"make, production",つく,作る,つくる,"make, create",kun,170
消,"extinguish, blow out",しょう,消防車,しょうぼうしゃ,fire truck,on,1552
消,"extinguish, blow out",しょう,消防署,しょうぼうしょ,fire station,on,1679
消,"extinguish, blow out",け,消す,けす,"erase, turn off",kun,172
消,"extinguish, blow out",け,消しゴム,けしごむ,(rubber) eraser,kun,648
消,"extinguish, blow out",き,消える,きえる,"be extinguished, disappear",kun,647
売,sell,ばい,売店,ばいてん,"kiosk, store",on,652
売,sell,ばい,販売,はんばい,"sale, selling",on,655
売,sell,う,売る,うる,sell を,kun,173
売,sell,う,売れる,うれる,"be sold, be in demand",kun,649
売,sell,う,売り場,うりば,"sales floor, department",kun,650
売,sell,う,売り切れる,うりきれる,"be sold out, go out of stock",kun,848
売,sell,う,売り切れ,うりきれ,sold out,kun,849
店,"store, shop",てん,店員,てんいん,"clerk, salesperson",on,651
店,"store, shop",てん,売店,ばいてん,"kiosk, store",on,652
店,"store, shop",てん,喫茶店,きっさてん,"coffee shop, tea house, café",on,1585
店,"store, shop",みせ,店,みせ,"shop, store",kun,174
暖,warmth,だん,暖房,だんぼう,heating,on,1303
暖,warmth,あたた,暖かい,あたたかい,warm,kun,183
暖,warmth,あたた,暖める,あたためる,"warm up (something), heat up を",kun,671
暖,warmth,あたた,暖まる,あたたまる, get warm が,kun,672
新,new,しん,新聞,しんぶん,newspaper,on,682
新,new,しん,新年,しんねん,New Year,on,683
新,new,しん,新幹線,しんかんせん,"Shinkansen, Bullet Train",on,1459
新,new,あたら,新しい,あたらしい,new,kun,184
思,think,おも,思う,おもう,think,kun,188
思,think,おも,思い出す,おもいだす,"recollect, recall",kun,687
思,think,おも,思い出,おもいで,"recollections, memory",kun,688
決,"decide, fix",けつ,解決,かいけつ,"solution, settlement",on,690
決,"decide, fix",き,決める,きめる,"decide, agree upon",kun,192
決,"decide, fix",き,決まる,きまる,be decided,kun,193
決,"decide, fix",irregular,決定,けってい,decision,irregular,858
番,"turn, number in a series",ばん,一番,いちばん,most,on,195
番,"turn, number in a series",ばん,交番,こうばん,police box,on,699
番,"turn, number in a series",ばん,番地,ばんち,"house number, address",on,700
番,"turn, number in a series",ばん,番号,ばんごう,number,on,701
番,"turn, number in a series",ばん,番組,ばんぐみ,"program (TV, radio)",on,1166
名,"name, noted",めい,有名,ゆうめい,famous,on,707
名,"name, noted",めい,氏名,しめい,full name,on,710
名,"name, noted",みょう,名字,みょうじ,"surname, family name",on,709
名,"name, noted",な,名前,なまえ,name,kun,197
名,"name, noted",な,片仮名,かたかな,katakana,kun,349
名,"name, noted",な,平仮名,ひらがな,hiragana,kun,350
名,"name, noted",な,仮名,かな,"kana, Japanese syllabary",kun,1500
名,"name, noted",な,送り仮名,おくりがな,kana suffix,kun,1501
送,"escort, send",そう,放送,ほうそう,broadcasting,on,1498
送,"escort, send",おく,送る,おくる,send,kun,203
送,"escort, send",おく,見送る,みおくる,see (someone) off,kun,726
送,"escort, send",おく,見送り,みおくり,seeing someone off,kun,727
送,"escort, send",おく,送り仮名,おくりがな,kana suffix,kun,1501
取,"take, fetch",と,取る,とる,"take, get",kun,204
取,"take, fetch",と,受け取る,うけとる,"get (st from so), receive<div>take (as in take as an insult)</div>",kun,729
取,"take, fetch",と,取れる,とれる,"come off, be removed",kun,730
取,"take, fetch",と,書き取る,かきとる,"write down, note down",kun,731
取,"take, fetch",とり,取引,とりひき,"transaction, dealings",kun,768
持,"hold, have",も,持つ,もつ,"have, possess",kun,206
持,"hold, have",も,気持ち,きもち,"feeling (about something, emotion)",kun,207
持,"hold, have",も,持つ,もつ,"last long, keep well",kun,734
持,"hold, have",も,金持ち,かねもち,wealthy person,kun,735
持,"hold, have",も,持って行く,もっていく,take (somewhere),kun,736
持,"hold, have",も,持って来る,もってくる,bring (something),kun,738
校,"exam, school",こう,学校,がっこう,school,on,214
校,"exam, school",こう,高校生,こうこうせい,high school student,on,215
校,"exam, school",こう,高校,こうこう,high school,on,755
校,"exam, school",こう,小学校,しょうがっこう,elementary school,on,756
校,"exam, school",こう,中学校,ちゅうがっこう,middle school,on,757
校,"exam, school",こう,校長,こうちょう,principal,on,758
校,"exam, school",こう,休校,きゅうこう,temporary school closure,on,760
校,"exam, school",こう,高等学校,こうとうがっこう,senior high school,on,1051
教,"teach, faith",きょう,教会,きょうかい,church,on,761
教,"teach, faith",きょう,教育,きょういく,education,on,762
教,"teach, faith",きょう,教室,きょうしつ,"classroom, class",on,1001
教,"teach, faith",きょう,教科書,きょうかしょ,"textbook, schoolbook",on,1061
教,"teach, faith",きょう,教師,きょうし,"teacher, instructor",on,1515
教,"teach, faith",きょう,教授,きょうじゅ,professor,on,1516
教,"teach, faith",おし,教える,おしえる,"teach, tell",kun,216
強,strong,きょう,勉強,べんきょう,study,on,217
強,strong,きょう,強化,きょうか,strengthening,on,873
強,strong,きょう,強調,きょうちょう,"emphasis, stress",on,1126
強,strong,つよ,強い,つよい,strong,kun,218
強,strong,つよ,強さ,つよさ,"strength, power",kun,767
引,"pull, tug",ひ,引く,ひく,"pull, draw",kun,221
引,"pull, tug",ひ,取引,とりひき,"transaction, dealings",kun,768
引,"pull, tug",ひ,引き出し,ひきだし,"drawer, withdrawal",kun,770
引,"pull, tug",ひ,引き算,ひきざん,subtraction,kun,823
引,"pull, tug",ひ,引っ越す,ひっこす,move (houses),kun,1391
引,"pull, tug",ひ,引っ越し,ひっこし,moving (houses),kun,1393
引,"pull, tug",ひ,引っ張る,ひっぱる,"pull, drag",kun,1542
数,"number, strength",すう,数字,すうじ,"figure, numeral",on,783
数,"number, strength",すう,数学,すうがく,mathematics,on,784
数,"number, strength",かず,数,かず,(the) number,kun,224
数,"number, strength",かぞ,数える,かぞえる,to count,kun,785
要,"need, main point",よう,必要,ひつよう,"need, necessity",on,817
要,"need, main point",よう,重要,じゅうよう,"important, essential",on,818
要,"need, main point",よう,要求,ようきゅう,"requirement, demand",on,819
要,"need, main point",い,要る,いる,"need, require",kun,228
計,"plot, plan",けい,時計,とけい,"clock, watch",on,229
計,"plot, plan",けい,目覚まし時計,めざましどけい,alarm clock,on,820
計,"plot, plan",けい,計算,けいさん,calculation,on,822
計,"plot, plan",けい,計画,けいかく,"plan, project",on,955
計,"plot, plan",けい,設計,せっけい,"design, plan",on,1091
計,"plot, plan",けい,腕時計,うでどけい,wrist watch,on,1615
払,"pay, clear out",はら,払う,はらう,pay,kun,230
払,"pay, clear out",irregular,酔っ払い,よっぱらい,drunk person,irregular,1067
払,"pay, clear out",irregular,酔っ払う,よっぱらう,get drunk,irregular,1068
変,"unusual, change",へん,大変,たいへん,"awful, serious",on,870
変,"unusual, change",へん,変,へん,"strange, weird, funny",on,871
変,"unusual, change",へん,変化,へんか,change,on,872
変,"unusual, change",か,変える,かえる,to change (st),kun,232
変,"unusual, change",か,変わる,かわる,change が,kun,868
乗,"ride, power",の,乗る,のる,"ride, take",kun,233
乗,"ride, power",の,乗り物,のりもの,"vehicle, means of transportation",kun,879
乗,"ride, power",の,乗り換える,のりかえる,"change, transfer (trainなど)",kun,1205
乗,"ride, power",の,乗り換え,のりかえ,"change (trainなど), transfer",kun,1206
着,"don, arrive",き,着る,きる,"wear, put on",kun,234
着,"don, arrive",き,着物,きもの,"kimono, clothes",kun,884
着,"don, arrive",き,着せる,きせる,"dress (sb), put clothes on (sb)",kun,887
着,"don, arrive",き,着替える,きがえる,change clothes,kun,1209
着,"don, arrive",つ,着く,つく,"arrive, touch, take one's place",kun,883
着,"don, arrive",ぎ,下着,したぎ,underwear,kun,885
着,"don, arrive",ぎ,上着,うわぎ,outerwear,kun,886
立,"stand up, rise",りつ,対立,たいりつ,"opposition, antagonism",on,1037
立,"stand up, rise",た,立つ,たつ,"stand, rise",kun,235
立,"stand up, rise",た,立場,たちば,"standpoint, position",kun,889
立,"stand up, rise",た,立てる,たてる,"stand (sth) up, set (sth) up, establish",kun,891
立,"stand up, rise",た,役に立つ,やくにたつ,"be useful, be helpful",kun,892
立,"stand up, rise",た,組み立てる,くみたてる,"put together, assemble, construct",kun,1167
立,"stand up, rise",だ,目立つ,めだつ,"stand out, be conspicuous",kun,890
立,"stand up, rise",irregular,立派,りっぱ,"fine, excellent",irregular,1217
次,"next, order",じ,次男,じなん,second son,on,897
次,"next, order",じ,次女,じじょ,second daughter,on,898
次,"next, order",つぎ,次,つぎ,next,kun,237
早,"early, fast",はや,早い,はやい,early,kun,241
早,"early, fast",はや,早く,はやく,"early, soon",kun,912
早,"early, fast",はや,早口,はやくち,fast talking,kun,913
早,"early, fast",はや,早起き,はやおき,early rising,kun,1324
速,"quick, fast",そく,速達,そくたつ,express mail,on,915
速,"quick, fast",はや,速い,はやい,fast,kun,242
速,"quick, fast",はや,速さ,はやさ,speed,kun,914
始,"commence, begin",し,開始,かいし,beginning,on,917
始,"commence, begin",はじ,始める,はじめる,"begin, start を",kun,244
始,"commence, begin",はじ,始まる,はじまる,begin が,kun,245
始,"commence, begin",はじ,始めに,はじめに,in the beginning,kun,918
終,"end, finish",お,終わる,おわる,"finish, end",kun,246
終,"end, finish",お,終わり,おわり,"end, conclusion",kun,247
楽,"music, comfort",がく,音楽,おんがく,music,on,949
楽,"music, comfort",たの,楽しむ,たのしむ,enjoy,kun,250
楽,"music, comfort",たの,楽しい,たのしい,"fun, enjoyable",kun,251
歌,"song, sing",か,歌手,かしゅ,singer,on,953
歌,"song, sing",うた,歌う,うたう,sing,kun,252
歌,"song, sing",うた,歌,うた,song,kun,951
色,color,しき,景色,けしき,"scene, landscape",on,1257
色,color,いろ,色,いろ,color,kun,254
色,color,いろ,茶色,ちゃいろ,light brown,kun,255
色,color,いろ,黄色い,きいろい,yellow,kun,318
色,color,いろ,黄色,きいろ,yellow,kun,1293
色,color,いろ,緑色,みどりいろ,green,kun,1306
