Component,Component_Meaning,Kanji,Kanji_Meaning,Word,Word_Reading,English_Meaning,Position_in_Deck
辰,"sign of the dragon, 7-9am",農,"agriculture, farmers",農業,のうぎょう,agriculture,1384
辰,"sign of the dragon, 7-9am",濃,"concentrated, thick",濃い,こい,"thick, concentrated, dark-colored",1385
辰,"sign of the dragon, 7-9am",賑,"flourish, be bustling",賑やか,にぎやか,"lively, exciting",1737
麻,"hemp, flax",歴,"curriculum, continuation",歴史,れきし,history,1276
麻,"hemp, flax",暦,"calendar, almanac",西暦,せいれき,"CE, AD (year)",1601
麻,"hemp, flax",魔,"witch, demon",邪魔,じゃま,"obstacle, interruption",1719
麻,"hemp, flax",磨,"grind, polish",磨く,みがく,"polish, grind",1745
麻,"hemp, flax",磨,"grind, polish",歯磨き,はみがき,"toothpaste, brushing one's teeth",1746
舛,dancing radical (no. 136),隣,neighboring,隣,となり,"neighboring house, next seat",1291
舛,dancing radical (no. 136),舞,"dance, flit",仕舞う,しまう,put away,1700
身,"somebody, person",謝,"apologize, thank",謝る,あやまる,apologize,1400
身,"somebody, person",射,"shoot, shine into",注射,ちゅうしゃ,"shot, injection",1401
乃,"from, possessive particle",誘,"entice, lead",誘う,さそう,"invite, ask out",1404
乃,"from, possessive particle",及,"reach out, exert",普及,ふきゅう,"spreading, becoming popular",1480
巛,curving river radical (no.47),巡,"patrol, go around",お巡りさん,おまわりさん,policeman,1659
巛,curving river radical (no.47),拶,"be imminent, draw close",挨拶,あいさつ,"greet, greeting",1740
虍,"tiger spots, mottled",嘘,"lie, falsehood",嘘,うそ,lie,1731
虍,"tiger spots, mottled",慮,"prudence, thought",遠慮,えんりょ,"reserve, hesitation, forethought",1732
革,"leather, skin",靴,shoes,靴,くつ,"shoes, boots",1743
革,"leather, skin",靴,shoes,靴下,くつした,"socks, stockings",1744
革,"leather, skin",鞄,"suitcase, bag",鞄,かばん,"bag, handbag, briefcase",1770
